Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
AFG005971,8/9/2021,13:46,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport",1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG006045,8/9/2021,08:30,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,NO,YES,NO,NO,,,,0,0,0,0,0,0
AFG005969,8/7/2021,09:30,Afghanistan,Confirmed,Other,1,1,YES,NO,YES,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005970,8/5/2021,11:00,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,YES,NO,YES,YES,NO,,,,0,0,0,0,0,0
AFG005952,7/31/2021,09:00,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,1,YES,YES,YES,YES,YES,YES,,,,0,0,0,0,0,0
AFG005948,7/25/2021,Time Unknown,Afghanistan,Confirmed,Other,2,0,YES,YES,NO,YES,NO,YES,,Primary,,0,0,0,0,0,0
AFG005951,7/12/2021,Time Unknown,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport, Removal of health care assets (e.g. transport, supplies, materials), Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005947,7/9/2021,Time Unknown,Afghanistan,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005949,7/7/2021,20:50,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,YES,NO,NO,,Primary,,0,0,0,0,0,0
AFG005950,7/5/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005977,7/5/2021,Time Unknown,Afghanistan,Confirmed, Setting fire,0,0,YES,NO,NO,YES,YES,NO,,Primary,,0,0,0,0,0,0
AFG005978,6/28/2021,09:00,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",7,0,YES,YES,YES,YES,YES,YES,,Primary,,0,0,0,0,0,0
AFG005828,6/16/2021,14:15,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,Unknown,NO,NO,,Secondary,,0,0,0,0,0,0
AFG005826,6/15/2021,14:10,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005827,6/15/2021,14:10,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005825,6/15/2021,14:00,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005824,6/12/2021,13:55,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005823,6/11/2021,13:45,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,Unknown,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005817,5/19/2021,13:00,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005647,5/18/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG005376,5/5/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",3,1,NO,NO,YES,NO,Unknown,NO,,,,0,0,0,0,0,0
AFG005375,5/1/2021,18:30,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,1,NO,NO,YES,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG005514,5/1/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005373,4/24/2021,13:00,Afghanistan,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005515,4/19/2021,Time Unknown,Afghanistan,Confirmed," Armed or violent search of health care personnel, facility or transport",0,0,NO,YES,NO,NO,NO,NO,,Secondary,,0,0,0,0,0,0
AFG005273,4/12/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,2,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005374,4/1/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,NO,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005275,3/31/2021,Time Unknown,Afghanistan,Confirmed, Abduction/Arrest/Detention of health personnel or patients,0,0,NO,NO,YES,NO,NO,NO,,,,0,3,0,0,0,0
AFG005268,3/30/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,4,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005267,3/30/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005266,3/30/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
AFG005265,3/30/2021,10:30,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",2,2,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005086,3/4/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,1,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
AFG005065,3/1/2021,Time Unknown,Afghanistan,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,NO,YES,NO,NO,NO,NO,,,,0,0,0,0,0,0
AFG005064,3/1/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,Primary,Closion,0,0,0,0,0,0
AFG005063,3/1/2021,Time Unknown,Afghanistan,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,NO,NO,NO,NO,,,Closion,0,0,0,0,0,0
AFG005040,2/27/2021,Time Unknown,Afghanistan,Confirmed,Other,0,0,YES,NO,NO,NO,NO,NO,,Primary,,0,0,0,0,0,0
