Attack ID,Attack Date,Attack Time,Country / Territory,Certainty Level,Attack Type,Total Injured,Total Death,HC Facilities,HC Transport,HC Personnel,HC Supplies Assets,HC Warehouse Storage,HC Patients,HC Other,Type of Facility,Facility Other,HW Abduction,HW Arrest,HW Detention,Patient Abduction,Patient Arrest,Patient Detention
IRQ001758,12/10/2018,12:00-18:00,Iraq,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001752,12/6/2018,12:00-18:00,Iraq,Confirmed, Assault (without weapons),1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001749,12/4/2018,12:00-18:00,Iraq,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001759,11/11/2018,12:00-18:00,Iraq,Confirmed, Assault (without weapons),1,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001747,11/4/2018,06:00-12:00,Iraq,Confirmed," Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,YES,NO,YES,NO,NO,YES,,Mobile Clinic,,0,0,0,0,0,0
IRQ001767,10/18/2018,06:00-12:00,Iraq,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001757,10/10/2018,00:00-06:00,Iraq,Confirmed, Psychological violence/threat of violence/intimidation,0,0,NO,NO,YES,NO,NO,NO,,,,0,0,0,0,0,0
IRQ001768,9/20/2018,12:00-18:00,Iraq,Confirmed, Assault (without weapons),1,0,NO,NO,YES,NO,NO,NO,,Mobile Clinic,,0,0,0,0,0,0
IRQ001949,9/13/2018,06:00-12:00,Iraq,Confirmed,Other,0,0,YES,NO,NO,Unknown,NO,NO,,,,0,0,0,0,0,0
IRQ001946,9/11/2018,Time Unknown,Iraq,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",0,0,YES,NO,Unknown,YES,NO,NO,,,,0,0,0,0,0,0
IRQ001756,9/10/2018,18:00-00:00,Iraq,Confirmed," Violence with individual weapons (knives, bricks, clubs, guns, grenades and improvised explosive devices (IED)",0,0,YES,NO,Unknown,NO,NO,Unknown,,Mobile Clinic,,0,0,0,0,0,0
IRQ001753,9/7/2018,18:00-00:00,Iraq,Confirmed," Removal of health care assets (e.g. transport, supplies, materials)",1,0,NO,YES,YES,NO,NO,NO,,,,0,0,0,0,0,0
