data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9111091,804,UKR55836,55836,"15 April 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)","Military Forces of Russia (2000-) Air Force",8,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Liveuamap; Ukrinform; Segodnya; Novoye Vremya Ukraine; Unian; Suspilne Media; Ministry of Defence of Ukraine","Local partner-New media","On 15 April 2022, Russian forces launched air strikes, using Tu-22M3, SU-34, and SU-24M planes on Ukrainian forces in Mariupol, Donetsk. Ukrainian forces fired back on the ground in the port area, while the Russian forces gained control of the Ilyich factory. Two aid workers, and five other people, died.",7,1650394649,UKR
9111091,804,UKR55836,55836,"15 April 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Liveuamap; Ukrinform; Segodnya; Novoye Vremya Ukraine; Unian; Suspilne Media; Ministry of Defence of Ukraine","Local partner-New media","On 15 April 2022, Russian forces launched air strikes, using Tu-22M3, SU-34, and SU-24M planes on Ukrainian forces in Mariupol, Donetsk. Ukrainian forces fired back on the ground in the port area, while the Russian forces gained control of the Ilyich factory. Two aid workers, and five other people, died.",7,1650394649,UKR
9111151,804,UKR55764,55764,"14 April 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,78,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"24 Channel",National,"On 14 April 2022, Russian forces shelled Mariupol, Donetsk. As a result of the shelling of the Donetsk region, 3 people were killed and 7 were injured. (3 fatalities split among 6 events)",1,1650394649,UKR
9111151,804,UKR55764,55764,"14 April 2022",2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"24 Channel",National,"On 14 April 2022, Russian forces shelled Mariupol, Donetsk. As a result of the shelling of the Donetsk region, 3 people were killed and 7 were injured. (3 fatalities split among 6 events)",1,1650394649,UKR
9111200,804,UKR55762,55762,"14 April 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,2,"24 Channel",National,"On 14 April 2022, armed clashes continued between the Ukrainian and Russian forces near Mariupol, Donetsk. Casualties unknown.",0,1650394649,UKR
9111200,804,UKR55762,55762,"14 April 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)",,1,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,2,"24 Channel",National,"On 14 April 2022, armed clashes continued between the Ukrainian and Russian forces near Mariupol, Donetsk. Casualties unknown.",0,1650394649,UKR
9111742,804,UKR55763,55763,"14 April 2022",2022,1,"Strategic developments",Other,"Civilians (Ukraine)","Refugees/IDPs (Ukraine)",7,70,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Suspilne Media",National,"Displacement: On 14 April 2022, 289 civilians evacuated from Mariupol, Donetsk, with their own cars to Zaporizhia.",0,1650394650,UKR
9111075,804,UKR55699,55699,"13 April 2022",2022,1,Battles,"Armed clash","Military Forces of Ukraine (2019-)","Military Forces of Ukraine (2019-) Special Operations Detachment Azov",1,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Segodnya; 24 Channel; Ministry of Defence of Ukraine",Other-National,"On 13 April 2022, Russian forces continued bombing and shelling Mariupol, Donetsk. Russian forces clashed with Ukrainian forces, including Azov Battalion, near the Azovstal plant in Mariupol. Ukrainian forces also destroyed some of the Russian equipment. Casualties unknown.",0,1650394649,UKR
9111075,804,UKR55699,55699,"13 April 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Segodnya; 24 Channel; Ministry of Defence of Ukraine",Other-National,"On 13 April 2022, Russian forces continued bombing and shelling Mariupol, Donetsk. Russian forces clashed with Ukrainian forces, including Azov Battalion, near the Azovstal plant in Mariupol. Ukrainian forces also destroyed some of the Russian equipment. Casualties unknown.",0,1650394649,UKR
9111796,804,UKR55700,55700,"13 April 2022",2022,2,"Strategic developments",Other,"Military Forces of Russia (2000-)",,8,78,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,Ukrinform,National,"Other: Around 13 April 2022 (week of), Russian forces started using 13 mobile crematoriums to burn civilian bodies in the city of Mariupol, Donetsk, to remove evidence of crimes committed by the Russian army in Ukraine.",0,1650394650,UKR
9111796,804,UKR55700,55700,"13 April 2022",2022,2,"Strategic developments",Other,"Civilians (Ukraine)",,7,78,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,Ukrinform,National,"Other: Around 13 April 2022 (week of), Russian forces started using 13 mobile crematoriums to burn civilian bodies in the city of Mariupol, Donetsk, to remove evidence of crimes committed by the Russian army in Ukraine.",0,1650394650,UKR
9111068,804,UKR55657,55657,"12 April 2022",2022,1,Battles,"Armed clash","Military Forces of Russia (2000-)",,8,18,Europe,Ukraine,Donetsk,Mariupolskyi,Mariupolska,Mariupol,47.1298,37.571,1,"Segodnya; Ministry of Defence of Ukraine",Other-National,"On 12 April 2022, clashes took place between the Russian and Ukrainian forces, including Azov Battalion, in Mariupol, Donetsk. Casualties unknown.",0,1650394649,UKR
